layer,p
0,0.071428575
1,0.16728571
2,0.19814286
3,0.19907142
4,0.18007143
5,0.2212143
6,0.208
7,0.17714286
8,0.15992858
9,0.21478571
10,0.1852143
11,0.25264287
12,0.18964286
13,0.17478572
14,0.16178572
15,0.17171429
16,0.15078574
17,0.178
18,0.13414289
19,0.16814286
20,0.18035713
21,0.17535712
22,0.20585711
23,0.24864283
24,0.32092854
25,0.3415714
26,0.37885714
27,0.49400002
28,0.45121428
29,0.41985717
30,0.4469286
31,0.49485713
32,0.49750003
33,0.50757146
34,0.5295
35,0.5092143
36,0.5182143
37,0.5115
38,0.50764287
39,0.51000005
40,0.48800004
41,0.483
42,0.48707142
43,0.51107144
44,0.592
