layer,p
0,0.497
1,0.485
2,0.499
3,0.49100003
4,0.51500005
5,0.485
6,0.49100003
7,0.52900004
8,0.541
9,0.53900003
10,0.523
11,0.513
12,0.52900004
13,0.537
14,0.551
15,0.527
16,0.52900004
17,0.521
18,0.52500004
19,0.531
20,0.527
21,0.523
22,0.517
23,0.48100004
24,0.47500002
25,0.46500003
26,0.47500002
27,0.47700003
28,0.467
29,0.47900003
30,0.485
31,0.47500002
32,0.47700003
33,0.469
34,0.47500002
35,0.47900003
36,0.48100004
37,0.47700003
38,0.485
39,0.47100002
40,0.46500003
41,0.45900002
42,0.45700002
43,0.44900003
44,0.45700002
45,0.45700002
46,0.43500003
47,0.453
48,0.44300002
