layer,p
0,0.5115
1,0.49100003
2,0.527
3,0.509
4,0.51900005
5,0.523
6,0.509
7,0.549
8,0.565
9,0.551
10,0.531
11,0.503
12,0.521
13,0.54300004
14,0.57500005
15,0.531
16,0.551
17,0.545
18,0.535
19,0.527
20,0.521
21,0.53300005
22,0.509
23,0.503
24,0.49300003
25,0.507
26,0.509
27,0.49300003
28,0.48900002
29,0.485
30,0.48700002
31,0.49300003
32,0.49100003
33,0.48700002
34,0.48900002
35,0.49100003
36,0.49300003
37,0.49300003
38,0.49300003
39,0.485
40,0.49300003
41,0.483
42,0.50100005
43,0.49300003
44,0.485
45,0.48900002
46,0.47500002
47,0.47500002
48,0.45700002
