layer,p
0,0.5
1,0.49800003
2,0.5665
3,0.52250004
4,0.56750005
5,0.4595
6,0.58100003
7,0.43050003
8,0.44000003
9,0.469
10,0.49650002
11,0.5055
12,0.5015
13,0.523
14,0.5235
15,0.51000005
16,0.497
17,0.47750002
18,0.5095
19,0.5015
20,0.518
21,0.513
22,0.50850004
23,0.51350003
24,0.51850003
25,0.43050003
26,0.4945
27,0.5235
28,0.53400004
29,0.528
30,0.513
31,0.51850003
32,0.5295
33,0.5295
34,0.52750003
35,0.52400005
36,0.522
37,0.5345
38,0.526
39,0.528
40,0.518
41,0.509
42,0.531
43,0.507
44,0.53050005
