layer,p
0,0.5
1,0.514
2,0.5245
3,0.52000004
4,0.605
5,0.503
6,0.518
7,0.51100004
8,0.51900005
9,0.55450004
10,0.54950005
11,0.53800005
12,0.546
13,0.5345
14,0.5285
15,0.5375
16,0.517
17,0.52150005
18,0.5165
19,0.51900005
20,0.51900005
21,0.52150005
22,0.52400005
23,0.52400005
24,0.54150003
25,0.5425
26,0.5475
27,0.54800004
28,0.54150003
29,0.5395
30,0.537
31,0.536
32,0.51350003
33,0.51600003
34,0.51900005
35,0.522
36,0.507
37,0.504
38,0.51500005
39,0.5285
40,0.5345
41,0.53300005
42,0.532
43,0.5205
44,0.518
