layer,p
0,0.3333334
1,0.31100002
2,0.3346667
3,0.36633337
4,0.29633334
5,0.29900002
6,0.3136667
7,0.33866668
8,0.3256667
9,0.33833334
10,0.3296667
11,0.34766668
12,0.3546667
13,0.32833335
14,0.3476667
15,0.377
16,0.39733332
17,0.40733334
18,0.4056667
19,0.39633334
20,0.40533334
21,0.43100002
22,0.45200002
23,0.45066667
24,0.45833337
25,0.44733337
26,0.485
27,0.47333333
28,0.4756667
29,0.4796667
30,0.49133334
31,0.48400003
32,0.47800002
33,0.45833337
34,0.45433334
35,0.44300002
36,0.43600002
37,0.44633338
38,0.42833337
39,0.43533334
40,0.42433333
41,0.40666667
42,0.3986667
43,0.4396667
44,0.41133332
