layer,p
0,0.5
1,0.42800003
2,0.44700003
3,0.4785
4,0.50850004
5,0.505
6,0.537
7,0.5015
8,0.55550003
9,0.54950005
10,0.5155
11,0.53400004
12,0.5345
13,0.5435
14,0.544
15,0.574
16,0.5755
17,0.5855
18,0.62200004
19,0.633
20,0.6625
21,0.669
22,0.64400005
23,0.6455
24,0.661
25,0.64100003
26,0.651
27,0.65500003
28,0.64350003
29,0.648
30,0.6395
31,0.633
32,0.63850003
33,0.6395
34,0.643
35,0.64900005
36,0.64350003
37,0.64150006
38,0.64350003
39,0.63350004
40,0.63500005
41,0.63850003
42,0.63750005
43,0.62750006
44,0.62100005
