layer,p
0,0.22850001
1,0.33400002
2,0.44900003
3,0.45600003
4,0.514
5,0.44700003
6,0.44300002
7,0.42100003
8,0.44700003
9,0.38900003
10,0.40600002
11,0.41400003
12,0.393
13,0.37
14,0.407
15,0.44300002
16,0.47200003
17,0.47400004
18,0.492
19,0.45700002
20,0.476
21,0.499
22,0.503
23,0.512
24,0.527
25,0.53300005
26,0.55600005
27,0.568
28,0.56
29,0.559
30,0.57900006
31,0.54800004
32,0.56100005
33,0.578
34,0.57500005
35,0.578
36,0.572
37,0.58000004
38,0.591
39,0.58900005
40,0.57600003
41,0.58900005
42,0.59000003
43,0.5795
44,0.56600004
45,0.559
46,0.568
47,0.57000005
48,0.56700003
