layer,p
0,0.5
1,0.46300003
2,0.48000002
3,0.50600004
4,0.55200005
5,0.5385
6,0.55200005
7,0.5485
8,0.55850005
9,0.554
10,0.517
11,0.53550005
12,0.5195
13,0.523
14,0.49750003
15,0.52750003
16,0.554
17,0.5665
18,0.5835
19,0.6115
20,0.625
21,0.62450004
22,0.61550003
23,0.60700005
24,0.60950005
25,0.60800004
26,0.60400003
27,0.61950004
28,0.62700003
29,0.625
30,0.623
31,0.614
32,0.6085
33,0.6075
34,0.6125
35,0.6175
36,0.6175
37,0.614
38,0.61200005
39,0.611
40,0.6115
41,0.61350006
42,0.61700004
43,0.61050004
44,0.59550005
