layer,p
0,0.50350004
1,0.483
2,0.537
3,0.517
4,0.521
5,0.517
6,0.53300005
7,0.559
8,0.549
9,0.537
10,0.551
11,0.551
12,0.55300003
13,0.559
14,0.56700003
15,0.54700005
16,0.55300003
17,0.54300004
18,0.52900004
19,0.537
20,0.531
21,0.527
22,0.52500004
23,0.48700002
24,0.48900002
25,0.47700003
26,0.48100004
27,0.485
28,0.47700003
29,0.48100004
30,0.483
31,0.48100004
32,0.483
33,0.469
34,0.483
35,0.483
36,0.47900003
37,0.47500002
38,0.483
39,0.48700002
40,0.48100004
41,0.47300002
42,0.47900003
43,0.469
44,0.467
45,0.467
46,0.45900002
47,0.46500003
48,0.453
