layer,p
0,0.41500002
1,0.48200002
2,0.46600002
3,0.50600004
4,0.522
5,0.51000005
6,0.54
7,0.49600002
8,0.5
9,0.514
10,0.53000003
11,0.536
12,0.51000005
13,0.5
14,0.512
15,0.514
16,0.504
17,0.512
18,0.52000004
19,0.50850004
20,0.50200003
21,0.48000002
22,0.47400004
23,0.46800002
24,0.45800003
25,0.45400003
26,0.47200003
27,0.46
28,0.47800002
29,0.48000002
30,0.48800004
31,0.50200003
32,0.504
33,0.49800003
34,0.50200003
35,0.50200003
36,0.49
37,0.5
38,0.5
39,0.49600002
40,0.492
41,0.492
42,0.492
43,0.49600002
44,0.5
45,0.50600004
46,0.50200003
47,0.51000005
48,0.504
