layer,p
0,0.1666667
1,0.1631667
2,0.14
3,0.17133336
4,0.15183334
5,0.19233336
6,0.2006667
7,0.25283337
8,0.23416668
9,0.17133336
10,0.106000006
11,0.135
12,0.133
13,0.14966668
14,0.13733335
15,0.15083335
16,0.16466668
17,0.18716666
18,0.19116668
19,0.18100001
20,0.16216668
21,0.16533335
22,0.16900001
23,0.15833333
24,0.15900001
25,0.157
26,0.15200001
27,0.15216668
28,0.14316668
29,0.142
30,0.13800001
31,0.14333335
32,0.13816667
33,0.13116667
34,0.13116668
35,0.12883334
36,0.13233334
37,0.13016666
38,0.12650001
39,0.12750001
40,0.13216668
41,0.125
42,0.123
43,0.12100001
44,0.125
