layer,p
0,0.07
1,0.15400001
2,0.26500002
3,0.27600002
4,0.284
5,0.24700001
6,0.24700001
7,0.19500001
8,0.178
9,0.171
10,0.148
11,0.135
12,0.171
13,0.177
14,0.179
15,0.194
16,0.21700001
17,0.238
18,0.268
19,0.23400001
20,0.24000001
21,0.254
22,0.24300002
23,0.312
24,0.30200002
25,0.328
26,0.407
27,0.45800003
28,0.49600002
29,0.48700002
30,0.48200002
31,0.5
32,0.517
33,0.54700005
34,0.55600005
35,0.59400004
36,0.597
37,0.61
38,0.609
39,0.61700004
40,0.61
41,0.64400005
42,0.656
43,0.65500003
44,0.651
45,0.67600006
46,0.68700004
47,0.69100004
48,0.68700004
