layer,p
0,0.1666667
1,0.15316668
2,0.12733333
3,0.1736667
4,0.15316667
5,0.17983335
6,0.20000002
7,0.26133335
8,0.22150002
9,0.22216667
10,0.45100003
11,0.44900003
12,0.505
13,0.48316664
14,0.49016666
15,0.44166663
16,0.40116665
17,0.39016667
18,0.40333334
19,0.3711667
20,0.35016668
21,0.34216666
22,0.37316668
23,0.37483338
24,0.3776667
25,0.37050003
26,0.363
27,0.386
28,0.3851667
29,0.39200002
30,0.397
31,0.397
32,0.38633338
33,0.3771667
34,0.37233332
35,0.3666667
36,0.35750002
37,0.35383335
38,0.34300002
39,0.34966668
40,0.35650003
41,0.374
42,0.36800003
43,0.35700002
44,0.36400002
