layer,p
0,0.39900002
1,0.49350002
2,0.5245
3,0.517
4,0.527
5,0.54700005
6,0.51900005
7,0.503
8,0.46300003
9,0.48250002
10,0.53000003
11,0.5145
12,0.507
13,0.48900002
14,0.48700002
15,0.509
16,0.49750003
17,0.4945
18,0.5105
19,0.47900003
20,0.499
21,0.485
22,0.48900002
23,0.521
24,0.49600002
25,0.51100004
26,0.47450003
27,0.47550002
28,0.51750004
29,0.49300003
30,0.50100005
31,0.521
32,0.5025
33,0.499
34,0.48450002
35,0.497
36,0.49100003
37,0.49500003
38,0.48850003
39,0.499
40,0.503
41,0.492
42,0.49300003
43,0.49100003
44,0.51100004
45,0.51100004
46,0.49800003
47,0.503
48,0.49100003
