layer,p
0,0.42000002
1,0.49
2,0.49600002
3,0.522
4,0.52400005
5,0.52000004
6,0.532
7,0.526
8,0.49600002
9,0.50200003
10,0.526
11,0.536
12,0.52000004
13,0.504
14,0.5
15,0.512
16,0.50200003
17,0.49400002
18,0.5
19,0.504
20,0.50600004
21,0.49600002
22,0.508
23,0.50200003
24,0.50600004
25,0.512
26,0.508
27,0.50600004
28,0.51600003
29,0.49800003
30,0.50600004
31,0.508
32,0.508
33,0.49400002
34,0.504
35,0.508
36,0.514
37,0.52000004
38,0.518
39,0.518
40,0.52400005
41,0.522
42,0.53000003
43,0.526
44,0.532
45,0.54
46,0.54
47,0.55200005
48,0.54800004
