layer,p
0,0.5
1,0.492
2,0.5665
3,0.51350003
4,0.565
5,0.4415
6,0.5695
7,0.404
8,0.44450003
9,0.46
10,0.49550003
11,0.49100003
12,0.48250002
13,0.48450002
14,0.4945
15,0.48250002
16,0.4645
17,0.44050002
18,0.485
19,0.46300003
20,0.492
21,0.48950002
22,0.476
23,0.47900003
24,0.49850002
25,0.393
26,0.5105
27,0.505
28,0.5055
29,0.5055
30,0.48850003
31,0.476
32,0.48850003
33,0.48350003
34,0.47750002
35,0.483
36,0.47900003
37,0.47900003
38,0.48700002
39,0.48350003
40,0.47250003
41,0.48000002
42,0.48550004
43,0.46100003
44,0.45250002
