layer,p
0,0.5
1,0.41200003
2,0.4225
3,0.48350003
4,0.47050002
5,0.512
6,0.53550005
7,0.532
8,0.5325
9,0.544
10,0.5525
11,0.52900004
12,0.5335
13,0.53400004
14,0.54950005
15,0.514
16,0.5745
17,0.56
18,0.57000005
19,0.57100004
20,0.56200004
21,0.54
22,0.5335
23,0.49800003
24,0.47250003
25,0.49650002
26,0.5065
27,0.522
28,0.51350003
29,0.5235
30,0.53300005
31,0.518
32,0.48850003
33,0.48100004
34,0.49950004
35,0.49350002
36,0.509
37,0.53900003
38,0.544
39,0.54
40,0.531
41,0.55450004
42,0.55600005
43,0.54950005
44,0.54550004
