layer,p
0,0.5
1,0.5025
2,0.5335
3,0.5195
4,0.564
5,0.455
6,0.58100003
7,0.42200002
8,0.44700003
9,0.46550003
10,0.49
11,0.4875
12,0.48700002
13,0.50100005
14,0.499
15,0.48800004
16,0.47200003
17,0.4575
18,0.48100004
19,0.46250004
20,0.48950002
21,0.49050003
22,0.47750002
23,0.47250003
24,0.48100004
25,0.379
26,0.47400004
27,0.46
28,0.46400002
29,0.46350002
30,0.47000003
31,0.46500003
32,0.47750002
33,0.4665
34,0.46950004
35,0.49400002
36,0.48700002
37,0.49550003
38,0.4945
39,0.483
40,0.48450002
41,0.46850002
42,0.46250004
43,0.46300003
44,0.455
