layer,p
0,0.1666667
1,0.1455
2,0.12733334
3,0.15683335
4,0.12933335
5,0.1155
6,0.18050002
7,0.17383336
8,0.15833335
9,0.16266666
10,0.22233336
11,0.24350001
12,0.2381667
13,0.22916667
14,0.22666667
15,0.2631667
16,0.22583336
17,0.21300003
18,0.19950002
19,0.19633335
20,0.19150001
21,0.19333336
22,0.20633334
23,0.21516669
24,0.20216666
25,0.20500001
26,0.21300001
27,0.21000001
28,0.21000001
29,0.201
30,0.20500001
31,0.18716668
32,0.18433335
33,0.17716669
34,0.17533335
35,0.19700001
36,0.19000001
37,0.19766667
38,0.19283333
39,0.20716667
40,0.19900002
41,0.18300001
42,0.17500001
43,0.18516669
44,0.19000001
