layer,p
0,0.497
1,0.48900002
2,0.49100003
3,0.499
4,0.51100004
5,0.49300003
6,0.497
7,0.53300005
8,0.54300004
9,0.541
10,0.523
11,0.52900004
12,0.527
13,0.531
14,0.551
15,0.517
16,0.51900005
17,0.509
18,0.523
19,0.527
20,0.517
21,0.513
22,0.521
23,0.505
24,0.499
25,0.49300003
26,0.47900003
27,0.469
28,0.469
29,0.469
30,0.48100004
31,0.47900003
32,0.483
33,0.47500002
34,0.483
35,0.47900003
36,0.47300002
37,0.49100003
38,0.48700002
39,0.49100003
40,0.48100004
41,0.485
42,0.469
43,0.46500003
44,0.45900002
45,0.45900002
46,0.46500003
47,0.45900002
48,0.453
