layer,p
0,0.25
1,0.29625002
2,0.29275
3,0.31550002
4,0.404
5,0.3585
6,0.35925
7,0.34800002
8,0.3145
9,0.41000003
10,0.448
11,0.446
12,0.43125
13,0.47200003
14,0.49025002
15,0.52000004
16,0.48925003
17,0.48600003
18,0.517
19,0.52225
20,0.52825004
21,0.49925002
22,0.54425
23,0.54
24,0.537
25,0.54725003
26,0.536
27,0.545
28,0.5935
29,0.58000004
30,0.57000005
31,0.56600004
32,0.569
33,0.55925
34,0.54800004
35,0.54300004
36,0.532
37,0.52225
38,0.5065
39,0.51000005
40,0.51225
41,0.51600003
42,0.523
43,0.54700005
44,0.57525
