layer,p
0,0.504
1,0.49600002
2,0.51600003
3,0.51000005
4,0.522
5,0.526
6,0.522
7,0.52000004
8,0.52400005
9,0.536
10,0.518
11,0.532
12,0.522
13,0.54200006
14,0.54
15,0.57000005
16,0.536
17,0.536
18,0.526
19,0.54
20,0.532
21,0.50200003
22,0.45800003
23,0.356
24,0.33800003
25,0.326
26,0.342
27,0.328
28,0.32000002
29,0.32200003
30,0.32000002
31,0.31
32,0.32000002
33,0.31800002
34,0.31800002
35,0.314
36,0.30200002
37,0.28800002
38,0.29200003
39,0.282
40,0.27600002
41,0.272
42,0.27400002
43,0.272
44,0.27800003
45,0.252
46,0.254
47,0.25800002
48,0.24200001
