layer,p
0,0.42000002
1,0.49
2,0.49600002
3,0.5
4,0.522
5,0.52000004
6,0.53400004
7,0.522
8,0.49
9,0.508
10,0.52400005
11,0.52400005
12,0.52000004
13,0.512
14,0.50200003
15,0.50600004
16,0.50200003
17,0.48200002
18,0.49600002
19,0.48600003
20,0.47200003
21,0.47800002
22,0.45200002
23,0.45600003
24,0.46600002
25,0.476
26,0.476
27,0.46600002
28,0.47000003
29,0.47200003
30,0.48000002
31,0.47000003
32,0.46
33,0.46600002
34,0.47400004
35,0.45800003
36,0.46400002
37,0.46800002
38,0.47200003
39,0.476
40,0.476
41,0.47800002
42,0.48200002
43,0.48000002
44,0.476
45,0.48600003
46,0.48000002
47,0.48600003
48,0.49
