layer,p
0,0.28566664
1,0.42766666
2,0.44633338
3,0.43133336
4,0.49300003
5,0.50633335
6,0.507
7,0.52933335
8,0.55733335
9,0.5206667
10,0.54200006
11,0.48833337
12,0.45733336
13,0.504
14,0.52900004
15,0.5313334
16,0.5076667
17,0.49600002
18,0.5226667
19,0.53433335
20,0.55
21,0.58033335
22,0.577
23,0.5766667
24,0.521
25,0.6153334
26,0.628
27,0.63933337
28,0.6613333
29,0.6373334
30,0.623
31,0.62066674
32,0.5883334
33,0.57666665
34,0.546
35,0.544
36,0.57966673
37,0.5926667
38,0.59900004
39,0.606
40,0.6213334
41,0.62066674
42,0.63233334
43,0.6393334
44,0.6426667
45,0.64900005
46,0.62766665
47,0.64100003
48,0.601
