layer,p
0,0.5
1,0.48400003
2,0.5235
3,0.48100004
4,0.47300002
5,0.49650002
6,0.49150002
7,0.5145
8,0.499
9,0.505
10,0.5335
11,0.513
12,0.52650005
13,0.55050004
14,0.56100005
15,0.58500004
16,0.57850003
17,0.578
18,0.60450006
19,0.595
20,0.623
21,0.61600006
22,0.6075
23,0.615
24,0.595
25,0.564
26,0.56200004
27,0.55550003
28,0.5515
29,0.55300003
30,0.55450004
31,0.559
32,0.52750003
33,0.521
34,0.50350004
35,0.5115
36,0.52400005
37,0.51500005
38,0.50850004
39,0.5115
40,0.509
41,0.49500003
42,0.499
43,0.51850003
44,0.509
