layer,p
0,0.504
1,0.49400002
2,0.512
3,0.52000004
4,0.50600004
5,0.53400004
6,0.52000004
7,0.52000004
8,0.52400005
9,0.54
10,0.522
11,0.53800005
12,0.53000003
13,0.54
14,0.536
15,0.56600004
16,0.55
17,0.54
18,0.53400004
19,0.56200004
20,0.61
21,0.60200006
22,0.614
23,0.656
24,0.63600004
25,0.624
26,0.61800003
27,0.656
28,0.66200006
29,0.67800003
30,0.67200005
31,0.68
32,0.68
33,0.688
34,0.69200003
35,0.684
36,0.66800004
37,0.652
38,0.65400004
39,0.652
40,0.64000005
41,0.63000005
42,0.62200004
43,0.61600006
44,0.62200004
45,0.57000005
46,0.56
47,0.59800005
48,0.57000005
