pic,p
0,0.0
1,-0.18849999
2,-0.024499983
3,-0.014999986
4,0.042000026
5,0.0039999783
6,-0.0255
7,0.04249999
8,0.057500005
9,0.010499984
10,0.044
11,-0.019499987
12,-0.0029999912
13,0.014499962
14,-0.029500008
15,0.069000036
16,0.06999999
17,0.04700002
18,0.047500014
19,0.09099999
20,0.0029999912
21,0.06249997
22,0.072
23,0.038999975
24,0.044999987
25,0.09200001
26,0.041500032
27,0.06800002
28,0.07350001
29,0.04399997
30,0.03550002
31,0.022000015
32,0.07249999
33,0.06950003
34,0.034999996
35,0.030500025
36,0.07400003
37,0.040499985
38,0.0695
39,0.064500034
