layer,p
0,0.056642864
1,0.135
2,0.273
3,0.28
4,0.261
5,0.216
6,0.201
7,0.16700001
8,0.17
9,0.15900001
10,0.148
11,0.128
12,0.158
13,0.163
14,0.17300001
15,0.18900001
16,0.19700001
17,0.193
18,0.18200001
19,0.202
20,0.37100002
21,0.4
22,0.39100003
23,0.48600003
24,0.521
25,0.637
26,0.693
27,0.76900005
28,0.77400005
29,0.763
30,0.74700004
31,0.753
32,0.768
33,0.79
34,0.776
35,0.785
36,0.791
37,0.78400004
38,0.78200006
39,0.785
40,0.80500007
41,0.80600005
42,0.81100005
43,0.81900007
44,0.81200004
45,0.82500005
46,0.81700003
47,0.809
48,0.79700005
