layer,p
0,0.5
1,0.5005
2,0.565
3,0.52900004
4,0.56450003
5,0.47000003
6,0.582
7,0.42900002
8,0.448
9,0.45350003
10,0.4735
11,0.47550002
12,0.47650003
13,0.485
14,0.48950002
15,0.47900003
16,0.4595
17,0.43250003
18,0.46850002
19,0.43400002
20,0.4665
21,0.469
22,0.4595
23,0.46300003
24,0.48100004
25,0.35750002
26,0.42850003
27,0.4715
28,0.47800002
29,0.47700003
30,0.45900002
31,0.45650002
32,0.46400002
33,0.47200003
34,0.47700003
35,0.4785
36,0.47300002
37,0.47100002
38,0.46350002
39,0.47650003
40,0.45150003
41,0.46500003
42,0.455
43,0.47050002
44,0.46600002
