layer,p
0,0.5
1,0.47500002
2,0.59050006
3,0.43550003
4,0.6175
5,0.53900003
6,0.4785
7,0.5935
8,0.5105
9,0.50450003
10,0.509
11,0.53300005
12,0.47950003
13,0.42150003
14,0.46500003
15,0.62350005
16,0.582
17,0.611
18,0.50100005
19,0.586
20,0.56100005
21,0.5705
22,0.5665
23,0.568
24,0.578
25,0.5385
26,0.5485
27,0.572
28,0.5835
29,0.56350005
30,0.564
31,0.5615
32,0.554
33,0.5535
34,0.56350005
35,0.57000005
36,0.56700003
37,0.56850004
38,0.574
39,0.56750005
40,0.57750005
41,0.588
42,0.572
43,0.57500005
44,0.59250003
