layer,p
0,0.30133337
1,0.374
2,0.4
3,0.379
4,0.3836667
5,0.35700002
6,0.356
7,0.32333335
8,0.314
9,0.32000002
10,0.32166666
11,0.349
12,0.351
13,0.354
14,0.344
15,0.3306667
16,0.29533336
17,0.3
18,0.305
19,0.303
20,0.33366668
21,0.34533337
22,0.36933333
23,0.36
24,0.386
25,0.41566667
26,0.42066666
27,0.43300003
28,0.455
29,0.46400002
30,0.46133333
31,0.46733338
32,0.45100003
33,0.45800003
34,0.46500003
35,0.45000002
36,0.453
37,0.45600003
38,0.4696667
39,0.46233335
40,0.47700003
41,0.46966672
42,0.46500003
43,0.47666672
44,0.48600003
45,0.47900003
46,0.4766667
47,0.47400004
48,0.47500002
