layer,p
0,0.02835714
1,0.134
2,0.256
3,0.296
4,0.272
5,0.21800001
6,0.202
7,0.17600001
8,0.163
9,0.158
10,0.147
11,0.132
12,0.16700001
13,0.164
14,0.172
15,0.192
16,0.2
17,0.192
18,0.16900001
19,0.18900001
20,0.286
21,0.27600002
22,0.21100001
23,0.23600002
24,0.231
25,0.294
26,0.263
27,0.45000002
28,0.43800002
29,0.44400004
30,0.39100003
31,0.39200002
32,0.39100003
33,0.39600003
34,0.367
35,0.34
36,0.33600003
37,0.31
38,0.32900003
39,0.33800003
40,0.342
41,0.34800002
42,0.35300002
43,0.342
44,0.316
45,0.31100002
46,0.29000002
47,0.279
48,0.263
