layer,p
0,0.3333334
1,0.3333334
2,0.3333334
3,0.3333334
4,0.3323334
5,0.3346667
6,0.3513334
7,0.2783333
8,0.3683334
9,0.3246667
10,0.41933337
11,0.4933334
12,0.42033336
13,0.4916667
14,0.49600002
15,0.54300004
16,0.56266665
17,0.5943334
18,0.58966666
19,0.58966666
20,0.59333336
21,0.588
22,0.564
23,0.5343334
24,0.49033338
25,0.45900002
26,0.43233335
27,0.42833337
28,0.37233332
29,0.35233337
30,0.34233332
31,0.34300002
32,0.37233332
33,0.3396667
34,0.34066668
35,0.3036667
36,0.32233334
37,0.33533335
38,0.377
39,0.39166668
40,0.42633334
41,0.46333337
42,0.47866672
43,0.51
44,0.5456667
