layer,p
0,0.052285716
1,0.13700001
2,0.26700002
3,0.27800003
4,0.28
5,0.20500001
6,0.20400001
7,0.17500001
8,0.16100001
9,0.147
10,0.13800001
11,0.132
12,0.16900001
13,0.18400002
14,0.19000001
15,0.18200001
16,0.177
17,0.17300001
18,0.187
19,0.193
20,0.316
21,0.333
22,0.293
23,0.36600003
24,0.37
25,0.47500002
26,0.492
27,0.642
28,0.64900005
29,0.647
30,0.586
31,0.597
32,0.61200005
33,0.63000005
34,0.609
35,0.58000004
36,0.58400005
37,0.56100005
38,0.574
39,0.572
40,0.578
41,0.573
42,0.57500005
43,0.574
44,0.55600005
45,0.565
46,0.54200006
47,0.52000004
48,0.50100005
